Gemeente,Datum,Medium,Platform,Link,Locatie 1,Vak1,Locatie 2,Vak2,Locatie 3,Vak3,Locatie 4,Vak4,Locatie 5,Vak5,Locatie 6,Vak6
Arnhem,06/22/2008,Social media,Youtube,https://www.youtube.com/watch?v=7dJBb1ba_8w,,,,,,,,,,,,
Arnhem,06/22/2008,Social media,Youtube,https://www.youtube.com/watch?v=9va9sY2W1DU,Sonsbeek,435422,,,,,,,,,,
Arnhem,06/22/2008,Social media,Youtube,https://www.youtube.com/watch?v=KsVaBTGCFcc,Angerenstein 1,434424,Angerenstein 2,434425,Angerenstein 3,435424,,,,,,
Arnhem,06/22/2008,Social media,Youtube,https://www.youtube.com/watch?v=SKbjrXXSYtA,Hommelseweg,435423,,,,,,,,,,
Arnhem,07/26/2008,Social media,Youtube,https://www.youtube.com/watch?v=P-pQJY2zf04,,,,,,,,,,,,
Arnhem,07/06/2009,Social media,Youtube,https://www.youtube.com/watch?v=V4qMzWcK06o,Malburgen-west 1,437422,Malburgen-west 2,438422,,,,,,,,
Arnhem,08/26/2010,Social media,Youtube,https://www.youtube.com/watch?v=AiICcpgdmQc,Lauwersgracht,436423,,,,,,,,,,
Arnhem,08/26/2010,Social media,Youtube,https://www.youtube.com/watch?v=FzNX8SfVwVo,,,,,,,,,,,,
Arnhem,06/05/2011,Social media,Youtube,https://www.youtube.com/watch?v=_LMjFStIVF0,Geitenkamp 1,433424,Geitenkamp 2,433425,Geitenkamp 3,434424,,,,,,
Arnhem,06/05/2011,Social media,Youtube,https://www.youtube.com/watch?v=1sGpQtqG5aA,Lauwersgracht,436423,,,,,,,,,,
Arnhem,06/05/2011,Social media,Youtube,https://www.youtube.com/watch?v=FYHqwvLOf2U,Geitenkamp 1,433424,Geitenkamp 2,433425,Geitenkamp 3,434424,,,,,,
Arnhem,08/03/2011,Social media,Youtube,https://www.youtube.com/watch?v=hJmo4qEG5b4,,,,,,,,,,,,
Arnhem,08/03/2011,Social media,Youtube,https://www.youtube.com/watch?v=InTaw4fwpGo,,,,,,,,,,,,
Arnhem,08/03/2011,Social media,Youtube,https://www.youtube.com/watch?v=La1hKBRhhvk,Oranjewachtstraat,437423,,,,,,,,,,
Arnhem,04/29/2014,Social media,Youtube,https://www.youtube.com/watch?v=6gBxjryXDD8,Hotel Groot Warnsborn,433420,,,,,,,,,,
Arnhem,04/29/2014,Social media,Youtube,https://www.youtube.com/watch?v=Fz74mMpqPgA,Hotel Groot Warnsborn,433420,,,,,,,,,,
Arnhem,04/29/2014,Social media,Youtube,https://www.youtube.com/watch?v=Xp51GILSV8s,Sonsbeek,435422,,,,,,,,,,
Arnhem,07/11/2014,Social media,Twitter,https://twitter.com/Jeff026/status/488009997285343233,Oranjewachtstraat,437423,,,,,,,,,,
Arnhem,07/27/2014,Nieuws,BN de Stem,https://www.bndestem.nl/overig/watermuseum-arnhem-gesloten-wegens-wateroverlast~a8fb78e2/?referrer=https://www.google.com/,Sonsbeek,435422,,,,,,,,,,
Arnhem,07/27/2014,Nieuws,Gelrenieuws,https://www.gelrenieuws.nl/2014/07/wateroverlast-teistert-de-regio.html,,,,,,,,,,,,
Arnhem,07/27/2014,Nieuws,Omroep Gelderland,https://www.omroepgelderland.nl/nieuws/2065149/Wateroverlast-in-Gelderland,,,,,,,,,,,,
Arnhem,07/27/2014,Social media,Twitter,https://twitter.com/BrengOV/status/493729541253103616,Presikhaaf 1,435425,,,,,,,,,,
Arnhem,07/27/2014,Social media,Twitter,https://twitter.com/HanAltena/status/493823163432980480,Watermuseum,,,,,,,,,,,
Arnhem,07/27/2014,Social media,Twitter,https://twitter.com/henkabma/status/493748292019556353,Arnhem centraal,436422,,,,,,,,,,
Arnhem,07/27/2014,Social media,Twitter,https://twitter.com/henrivanveen/status/493755714746482688,,,,,,,,,,,,
Arnhem,07/27/2014,Social media,Twitter,https://twitter.com/Hoefakker/status/493723993636368384,Geitenkamp 1,433424,,,,,,,,,,
Arnhem,07/27/2014,Social media,Twitter,https://twitter.com/Hoefakker/status/493830671668764673,Sonsbeek,435422,,,,,,,,,,
Arnhem,07/27/2014,Social media,Twitter,https://twitter.com/Jacqueline_j66/status/493791101791522818,,,,,,,,,,,,
Arnhem,07/27/2014,Social media,Twitter,https://twitter.com/LindaLedderhof/status/493749730963628033,Molenbeke,436424,,,,,,,,,,
Arnhem,07/27/2014,Social media,Twitter,https://twitter.com/maryvanderes/status/493750249912283136,,,,,,,,,,,,
Arnhem,07/27/2014,Social media,Twitter,https://twitter.com/mathijsste/status/493720342763147264,Wichard van Pontlaan,435425,,,,,,,,,,
Arnhem,07/27/2014,Social media,Twitter,https://twitter.com/Watermuseum/status/493778793765797888,Sonsbeek,435422,,,,,,,,,,
